# Pathway	G45057_Abundance	G45068_Abundance	G45071_Abundance	G45075_Abundance	G45092_Abundance	G45099_Abundance	G45108_Abundance	G45117_Abundance	G45123_Abundance	G45226_Abundance	G45227_Abundance	G45250_Abundance
PWY-6151: S-adenosyl-L-methionine cycle I|g__Clostridium.s__Clostridium_nexile	13.1354	0.715777	0	0	0	1.33339	0	0	0	0	8.01491	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Collinsella.s__Collinsella_aerofaciens	0	0.486411	0	0	0	0	7.58673	0	0	5.708	12.1381	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_catus	0	0.721836	0	0.674831	0	0	0	0	0	0	1.46762	2.89072
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_comes	0	1.23188	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_eutactus	0	10.459	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Coprococcus.s__Coprococcus_sp_ART55_1	0	0	0	0	0	0	0	0	0	0	0	17.5752
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	4.69131	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Dorea.s__Dorea_longicatena	0	1.74857	0	4.41589	0	0	4.07202	0	0	3.92208	31.2477	11.123
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Clostridium_ramosum	0	0	0	0	0.633271	1.57248	0.328795	0	0	1.0087	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3	0	0	0	0	0	0	0	0.410679	0	0	0.523416	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45	0	0	1.12531	0	0	0	0	0	0	0	0.441391	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	0	4.08744	0	0	0	0	14.0711	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Escherichia.s__Escherichia_coli	0	1.91539	0	0	0	0	0	26.5464	6.27152	0	5.60953	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_eligens	0	12.9034	0	7.85311	5.32675	0	4.05876	0	2.35647	16.7255	1.97908	2.55368
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_hallii	0	0.673603	0	1.76696	0.853651	0	0	0	0.906468	0.308323	6.88398	3.30288
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_rectale	0	4.66176	0	5.68012	0	0	54.7766	0	21.3494	0	0.736905	152.982
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_sp_3_1_31	0	0	0	0	0	0	0	0	2.15261	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	1.01062	0.821643	0	1.31608	0	0	0	2.20048	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	73.3788	35.3899	131.023	101.193	39.7411	154.22	38.4681	39.4301	109.424	36.0985	79.697	70.3946
PWY-6151: S-adenosyl-L-methionine cycle I|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0.504765	0	0	0	0	0.473848	11.7421	0.191156	0	0.403286
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	2.29575	0	3.49935	0	5.56489	0	2.65878	0	0.666009
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0.982422	0	0	0	0	1.39655	0	0.569718
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	1.52118	6.47365	6.56627	4.26629	3.51292	3.38132	0.945951	19.2928	6.47683	10.7053	4.29227
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_acidophilus	0	0	0	0	0	0	0.825932	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactobacillus.s__Lactobacillus_casei_paracasei	0	0.612151	0	0	0	0	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactococcus.s__Lactococcus_lactis	1.90514	0.684978	0	0	0	0	0.266898	0	0	0	10.1242	5.71024
PWY-6151: S-adenosyl-L-methionine cycle I|g__Lactococcus.s__Lactococcus_raffinolactis	0	0	0	0	0	0	0	0	0.340094	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	1.28626	0	0	1.62455	0	0	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	0	0	0	0	0	0	0	0.17877	1.41418	0	1.07195	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	1.77829	0	39.3794	0	1.15423	20.2831
PWY-6151: S-adenosyl-L-methionine cycle I|g__Roseburia.s__Roseburia_inulinivorans	0	0.767782	0	12.3272	0	0	0	0	6.55308	31.3977	0.302611	6.85572
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_bromii	0	0	22.8955	15.0619	0	22.4269	0	0	0	66.9455	0	25.1635
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_callidus	0	4.71406	0	0	0	0	0	0	0	0.379149	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_lactaris	0	2.93294	0	0	1.65097	0	0	0	0	0	0	1.35569
PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	2.80832	0	0	7.81643	0	9.0081	0	0	0	15.3619	28.1066
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0.174834	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0	0	0.75939	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	0.4757	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_salivarius	0	0.517955	1.03519	1.32463	0	0.670819	0	1.03576	1.33246	1.25811	5.20537	1.45593
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	0	0.132022	0	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_thermophilus	2.07441	0	4.38964	0	0	0	2.18548	0	0.907076	0	0	0
PWY-6151: S-adenosyl-L-methionine cycle I|g__Streptococcus.s__Streptococcus_vestibularis	0	0	0	0	0	0	0	0	0	0	0	0.198165
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	58.3507	130.069	135.399	68.9884	81.6318	57.4459	75.2318	23.5487	97.0162	256.047	111.788	78.8969
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	356.029	469.565	439.739	413.191	316.139	360.026	450.858	230.434	499.483	635.248	534.9	652.519
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Akkermansia.s__Akkermansia_muciniphila	0	3.55964	0	0.719249	0	29.7675	0	0	0	0	0	0.846604
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	2.84498	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Alistipes.s__Alistipes_shahii	0	38.1686	0	0	0	3.66088	8.54775	0	0	4.00701	0	3.82134
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Alistipes.s__Alistipes_sp_HGB5	8.78289	0	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerostipes.s__Anaerostipes_hadrus	0	1.77576	9.58318	6.8372	0	3.66093	4.21885	1.54481	0	8.28859	10.4664	5.51255
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_fragilis	27.8696	0	0	0	0	3.32207	0	0	0	6.74098	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bilophila.s__Bilophila_wadsworthia	0	3.10032	0	0	0	0	6.8399	0	1.40128	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_gnavus	7.18099	0	2.79422	0.941301	0	0.614406	0	2.52053	5.70326	1.79189	5.18907	0.23847
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_obeum	0	1.83713	0	0	0	0	1.65145	0	3.06477	0	7.19308	4.61199
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_torques	0	2.62806	6.01605	12.1529	2.96356	0	3.42631	0	4.0141	3.30941	1.0962	0.633536
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	1.40393	0	0	0.959362	0	0	0	3.41212	0	0	0.96922
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	0	0	1.32809	0	0.555322	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	1.88917	0	0	0	0	0.712417	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_bolteae	2.66688	0	2.46541	0	0	5.31608	0	0	0	0.619238	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_clostridioforme	1.94526	0	2.7485	0.762862	0	3.49902	0	0.863493	1.06558	3.6092	0	0.500749
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_hathewayi	0	0	1.20095	0	0	2.58903	0	0.864965	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_scindens	0	0	0.34702	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_sp_KLE_1755	0	0	0	0	0	0	0	2.78595	5.04783	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_symbiosum	0	0	0	0	0	1.53723	0	0	0.687974	1.81326	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Coprococcus.s__Coprococcus_catus	0	0.905951	0	0	0	0	0	0	0	0	2.36123	2.19245
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_formicigenerans	0	0.436252	0	0	0	0	0	0	0	0	5.10269	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_longicatena	0	0	0	4.24228	0	0	1.2175	0	0	0	35.3101	7.8506
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Escherichia.s__Escherichia_coli	0	2.16522	0	0	0	0.604873	0	23.196	5.24066	0	5.48308	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_eligens	0	9.19067	0	6.91684	1.59179	0	2.71451	0	1.07401	13.7152	2.09187	3.01591
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_hallii	0	0	0	1.63876	2.08619	0	0	0	0	0	7.02653	3.31882
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_rectale	0	7.9038	0	7.30464	0	0	61.3354	0	21.8261	0	0.518027	179.231
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_siraeum	0	2.14513	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	0	0.982572	0	1.17236	0	0	0	1.33878	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Flavonifractor.s__Flavonifractor_plautii	2.16285	1.27529	0	0	2.77078	5.42485	1.74285	2.03642	2.06084	5.76803	1.8331	2.34682
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	1.86823	0	0	0	0	0	13.7303	1.03519	0.477714	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_1_1_57FAA	0	1.00793	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0.77791	0	0.708036	0	1.71267	0	0.253219
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	0.753152	0	0	0	0	0	0	4.07639	3.61201	0.542238	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0	0	0	0	0	0	0	0	3.80217	1.07139	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0.771242	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	1.66692	7.30603	9.08453	4.19435	6.18571	3.77393	1.93459	20.5315	9.38731	12.8179	7.81464
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0.230615	0	0	0	0	8.81428	6.67986
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parasutterella.s__Parasutterella_excrementihominis	1.55519	2.95836	0	0	1.25428	0	0	0	2.57796	0	0.583355	0.591625
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	0	0	0	0	0	0.821483	0	0	1.74328	0	1.63696	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_hominis	0	0	0	2.36366	0	0	0.753632	0	1.92428	0	0	1.43285
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_intestinalis	0	1.21976	0	0	0.781584	0	1.25134	0	42.903	0	0.670937	30.5774
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_inulinivorans	0	0	0	16.911	0	0	0	0	7.87332	36.5516	0	6.68199
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcus.s__Ruminococcus_callidus	0	7.13461	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	3.44725	0	0	12.7835	0	10.7854	0	0	0	11.65	32.0635
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0.379732	0	0.518458	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	0	0	0	0	0	0	1.10628	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0.774383	0	0	0	0	1.34835	0	2.65139	1.24504
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_thermophilus	2.11268	0	5.45696	0	0	0	1.21134	0	0	0	0	0.734939
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	56.7109	148.399	149.284	69.7626	93.7983	56.7747	76.789	24.4011	105.225	281.924	142.408	109.768
PWY-6168: flavin biosynthesis III (fungi)	340.067	244.714	308.804	261.835	243.675	182.019	187.562	186.079	131.64	225.96	212.04	205.623
PWY-6168: flavin biosynthesis III (fungi)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0.884097	1.78033	4.4355	0	3.87457	1.57467	1.26138	0	3.75435	7.78531	4.06809
PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_faecis	0	0	25.2838	21.9872	0	0	8.86927	0	0	0	0	0
PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	2.67486	0	0	3.17368	0	0	0	0	4.95271	1.31303	0
PWY-6168: flavin biosynthesis III (fungi)|g__Escherichia.s__Escherichia_coli	0	2.40318	0	0	0	0	0	27.0616	6.40102	0	5.06109	0
PWY-6168: flavin biosynthesis III (fungi)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	1.17739	2.53925	0	0	10.1801	0	5.00186	3.85256
PWY-6168: flavin biosynthesis III (fungi)|unclassified	0	0	4.9799	8.07906	0	0	0	1.89856	5.58642	16.0048	4.91289	10.0253
PWY-621: sucrose degradation III (sucrose invertase)	169.628	142.342	232.167	226.274	134.905	241.797	201.248	101.599	270.961	221.509	290.231	395.084
PWY-621: sucrose degradation III (sucrose invertase)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0.642854	8.54045	8.19234	0	7.16244	3.19365	1.63264	0	6.07198	9.93281	6.06516
PWY-621: sucrose degradation III (sucrose invertase)|g__Blautia.s__Ruminococcus_obeum	0	0.849299	0	0.294242	0	0	0.345324	0	2.99114	0	3.69475	4.82926
PWY-621: sucrose degradation III (sucrose invertase)|g__Blautia.s__Ruminococcus_torques	0	5.37682	0	29.6044	7.21492	0	9.04858	0	0	0	0.852011	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	0	0	0.863718	0	0.182443	0.199077	0	0.27606	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Coprococcus.s__Coprococcus_eutactus	0	18.506	0	0	2.17126	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Coprococcus.s__Coprococcus_sp_ART55_1	0	0	0	0	0	0	0	0	0	0	0	33.4928
PWY-621: sucrose degradation III (sucrose invertase)|g__Escherichia.s__Escherichia_coli	0	0	0	0	0	0.222168	0	26.2104	5.00077	0	6.34376	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Eubacterium.s__Eubacterium_rectale	0	6.9809	0	0.667526	0	0	50.5472	0	16.2831	0	0.182196	135.494
PWY-621: sucrose degradation III (sucrose invertase)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	93.5527	53.6957	152.259	115.42	47.182	182.728	55.9446	53.5176	142.277	49.041	91.5738	96.3083
PWY-621: sucrose degradation III (sucrose invertase)|g__Haemophilus.s__Haemophilus_sputorum	0	0	0	0	0	0	0	0	0.30296	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	1.3122	14.5751	11.9189	5.60355	9.16305	3.54288	1.61998	19.0435	16.9528	18.3607	7.14749
PWY-621: sucrose degradation III (sucrose invertase)|g__Lactobacillus.s__Lactobacillus_acidophilus	0	0	0	0	0	0	3.99255	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Lactococcus.s__Lactococcus_raffinolactis	0	0	0	0	0	0	0	0	0.27561	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0.150431	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0.397304	0	0.822565	0
PWY-621: sucrose degradation III (sucrose invertase)|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0.526745	0	0	0	0	0	0	0	1.07687	0
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	13.786	9.32162	22.1646	8.14151	13.8316	7.84524	23.7815	4.62698	10.772	26.0419	58.4192	19.4247
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	0	1.42403	0	0	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	0	4.55451	0	0	0	0	0	5.87941	12.2623	0	0	0
PWY-6270: isoprene biosynthesis I	69.3629	43.9481	55.4385	52.3675	0	7.3181	72.7093	154.35	86.0905	13.3229	150.47	65.9551
PWY-6270: isoprene biosynthesis I|unclassified	0	0	0	24.6972	0	0	29.3868	0	21.6179	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	281.008	442.348	448.239	395.139	326.907	447.624	426.557	176.981	497.719	718.652	492.739	506.71
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0.464294	0	0	0.690617	0	0.627854	0	0	0	1.33561	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	4.79273	0	1.94009	0	30.5333	0.502159	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	2.99426	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	0	10.1447	6.0494	29.8185	0	21.7864	0	0	0.185885
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_putredinis	0	14.024	0	0	9.4789	4.91761	27.647	0	0	6.0324	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_sp_HGB5	7.48142	0	0	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0	1.60656	5.89861	5.3429	0	3.26001	4.21555	1.67676	0	8.77408	9.65277	5.15934
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Anaerotruncus.s__Anaerotruncus_colihominis	0	0	0	0	0	0.195231	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	11.1257	0	13.0402	0	0	5.03971	0	0	30.0265	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_breve	0	0	0	0	0.375242	0	0	0	0	1.62182	1.95537	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_catenulatum	0	0	0	15.641	3.30717	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_longum	0	7.54427	6.05326	16.56	1.91009	23.4922	8.99214	5.00691	0	9.30279	22.313	5.03827
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum	0	0.432645	0	0	3.61774	0	16.0575	0.957166	0	1.52212	45.7615	8.79524
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	0	2.64877	0	0	0	0	4.71799	0	1.70158	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Ruminococcus_gnavus	11.348	0	2.24315	1.41462	0	3.47055	0	3.11884	6.63774	2.45182	3.8393	0.331492
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Ruminococcus_obeum	0	1.03753	0	0	0	0	0.479943	0	1.45898	0	5.0151	4.74812
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Ruminococcus_torques	0	2.03724	7.10421	0.25426	0	0	0	0	3.40144	4.24622	1.67622	0.984653
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.928673	1.0522	0	0	0.344016	0	0	0	2.95759	0	0.584553	0.591545
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Butyricicoccus.s__Butyricicoccus_pullicaecorum	0	0	0	0	0	0.399434	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA	0	0	0.560171	0	1.25744	0.555906	0	0	0	0	0.352404	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	1.54335	0	0	0.520207	0	0.821008	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_bolteae	2.43894	0	1.5945	0.419434	0.215566	4.40846	0	0	0	0.811628	0	0.247918
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_clostridioforme	1.20901	0	3.22862	0.711345	0	2.96217	0	1.46295	0.439442	5.25492	0.263689	1.17333
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_hathewayi	0	0	0.915784	0.327133	0.301661	1.56452	0	0.674742	0.426849	0.433024	0.462409	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_leptum	0	0	0	0	0	2.12854	0.99262	0	0.17017	0	11.25	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_nexile	16.9202	0	0	0	0	1.79911	0	0	0	0	4.28317	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_scindens	0	0	0.445051	0	0	0	0	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Clostridium.s__Clostridium_sp_KLE_1755	0	0	0	0	0	0	0	3.75991	6.00963	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Collinsella.s__Collinsella_aerofaciens	0	4.92665	0	0	3.8059	0	12.0922	0	0	21.6723	12.6399	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Coprococcus.s__Coprococcus_catus	0	0.608283	0	1.55492	0	0	0	0	0	0	1.65757	1.74969
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Coprococcus.s__Coprococcus_comes	0	3.13002	0	0	0	0	1.5331	0	0	0	0	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Coprococcus.s__Coprococcus_eutactus	0	18.1088	0	0	1.33909	0	0	0	0	0	0	0
